시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
고양시 일산동구,마두2동,0.003727273,0.045041128,0.048768401
용인시 기흥구,마북동,0.003678505,0.042443061,0.046121565999999996
김포시,마산동,0.003709828,0.048663837,0.052373665
성동구,마장동,0.005379722,0.030335953,0.035715675
서구,마전동,0.005670213,0.048607329,0.054277542
송파구,마천1동,0.005,0.030274385,0.035274385
송파구,마천2동,0.007967611,0.023163567,0.031131178
동구,만석동,0.008386364,0.0,0.008386364
남동구,만수1동,0.005040984,0.030449348,0.035490332
남동구,만수2동,0.0046125,0.044972064,0.049584564
남동구,만수3동,0.004513761,0.040330637,0.044844398
남동구,만수4동,0.004111421,0.037117309,0.04122873
남동구,만수5동,0.002111588,0.0,0.002111588
남동구,만수6동,0.007028571,0.038570098,0.045598668999999994
중랑구,망우3동,0.005020408,0.031050025,0.036070433
중랑구,망우본동,0.002880165,0.031880505,0.03476067
마포구,망원1동,0.006327974,0.0,0.006327974
마포구,망원2동,0.004341176,0.030462728,0.034803904000000004
중랑구,면목2동,0.005077982,0.029474799,0.034552781
중랑구,면목3.8동,0.004402685,0.039181942,0.043584627
중랑구,면목4동,0.00328,0.033545972,0.036825972
중랑구,면목5동,0.001846154,0.0,0.001846154
중랑구,면목7동,0.003943888,0.02893157,0.032875458
중랑구,면목본동,0.004290698,0.031845929,0.036136627000000004
중구,명동,0.0656,0.022444201,0.088044201
강동구,명일1동,0.003045714,0.03805697,0.041102684
강동구,명일2동,0.005655172,0.034186016,0.039841188
용인시 처인구,모현읍,0.003258278,0.039840732,0.04309900999999999
양천구,목1동,0.002781407,0.046546867,0.049328274
양천구,목2동,0.004615385,0.029782721,0.034398106
양천구,목3동,0.003932504,0.037061707,0.040994211
양천구,목4동,0.003894459,0.034611069,0.038505528000000004
양천구,목5동,0.003059067,0.042113107,0.045172173999999995
종로구,무악동,0.003167382,0.030125773,0.033293155000000005
중랑구,묵1동,0.004780269,0.036811048,0.041591317
중랑구,묵2동,0.005622857,0.028118556,0.033741413
영등포구,문래동,0.003979412,0.035899067,0.039878479
송파구,문정1동,0.002654676,0.034644639,0.037299315
송파구,문정2동,0.002791929,0.033283302,0.036075231
미추홀구,문학동,0.004049383,0.038200343,0.042249726
하남시,미사1동,0.002953027,0.051412509,0.054365536
하남시,미사2동,0.004120197,0.047970237,0.052090434
하남시,미사3동,0.004051765,0.044434437,0.048486202
관악구,미성동,0.005579381,0.032267195,0.037846576
강북구,미아동,0.004619718,0.044044347,0.048664065
안양시 만안구,박달동,0.005857143,0.0,0.005857143
서초구,반포1동,0.002128846,0.043564362,0.045693208
서초구,반포2동,0.002107969,0.048476767,0.050584736
서초구,반포3동,0.00230445,0.042756465,0.045060915
서초구,반포4동,0.0031488,0.046601068,0.049749868
강서구,발산1동,0.005498542,0.038739878,0.04423842
서초구,방배1동,0.003113924,0.037909801,0.041023725
서초구,방배2동,0.004513761,0.037301699,0.04181546
서초구,방배3동,0.001983871,0.031949747,0.033933618
서초구,방배4동,0.002853093,0.037435777,0.040288870000000004
서초구,방배본동,0.001724299,0.039427348,0.041151647
